timestamp,open,high,low,close,volume
2023-10-16,10.2900,10.3700,9.2700,9.4700,113735863
2023-09-29,10.8400,10.9100,9.4600,9.8600,185905068
2023-08-31,10.5100,11.4800,10.1339,10.7500,180945378
2023-07-31,9.9500,10.7300,9.7100,10.5300,161884716
2023-06-30,9.1500,10.3200,8.9900,9.9800,206123275
2023-05-31,9.3100,10.0900,8.8400,9.1500,230834751
2023-04-28,9.6850,10.0300,8.9900,9.3300,161401691
2023-03-31,11.4000,11.4250,9.0800,9.6200,223245002
2023-02-28,12.0600,12.3993,11.0400,11.4000,168065843
2023-01-31,11.1900,12.1950,11.1900,12.1600,191603987
2022-12-30,11.0400,11.4500,10.5550,11.1300,159212811
2022-11-30,10.1900,11.8400,9.5250,11.0300,235691463
2022-10-31,8.6100,10.1900,8.4600,10.1300,186963252
2022-09-30,9.5400,10.2000,8.4200,8.5200,220423348
2022-08-31,9.6800,11.2200,9.4600,9.5500,269214396
2022-07-29,10.4500,10.7400,9.4450,9.6900,235850573
2022-06-30,12.3300,12.3750,10.2050,10.4700,198755380
2022-05-31,10.3500,12.3500,9.7600,12.2700,299753289
2022-04-29,10.9600,11.1150,10.0200,10.3300,219903776
2022-03-31,11.1600,11.3000,9.6600,10.8800,411904305
2022-02-28,14.9700,15.6000,10.8800,11.0100,225983958
2022-01-31,13.6000,15.3400,13.5200,14.9700,194665549
2021-12-31,12.4200,13.7950,11.9600,13.5300,223479229
2021-11-30,13.3700,14.8700,12.2300,12.3100,236534290
2021-10-29,13.5600,14.1000,13.0850,13.3500,147287052
2021-09-30,14.6200,15.1900,13.2000,13.5500,174655059
2021-08-31,14.1300,15.2500,13.6750,14.6300,157926583
2021-07-30,14.3800,14.8200,13.2400,14.0700,129991248
2021-06-30,15.2550,15.9200,14.1100,14.2900,139905257
2021-05-28,13.2600,16.2900,13.1900,15.2400,228962250
2021-04-30,13.9600,14.1600,12.9400,13.3000,188178000
2021-03-31,15.0490,15.3000,13.3100,13.9700,258725320
2021-02-26,17.1500,18.6800,14.5600,14.8500,215796174
2021-01-29,18.6600,18.7700,16.6100,16.9900,223569475
2020-12-31,16.8800,18.8600,16.7400,18.7400,275993178
